Дата,Кол-во комнат,Адрес,Год постройки,Этаж,Площадь (кв.м),Цена,Unnamed: 7
14.04,2-комнатная квартира,"Приокский район ЖК Гагаринские высотыпросп. Гагарина, д. 101 к3 Информация о доме",2014.0,"3 / 5 эт., блок+утеплитель","55,4 / 30 / 10",10 700 000 руб.193 141 руб./м²от 127 045 руб./мес.,
14.04,3-комнатная квартира,"Ленинский районул. Октябрьской Революции, д. 72 Информация о доме",1941.0,"4 / 5 эт., кирпич","75,2 / 51,3 / 8,8стал.",9 980 000 руб.132 713 руб./м²от 118 496 руб./мес.,
14.04,1-комнатная квартира,"Автозаводский район ЖК Торпедоул. Бориса Видяева, д. 21 Информация о доме",2022.0,"6 / 10 эт., панель","31,5 / 12,3 / 8,5",5 250 000 руб.166 667 руб./м²от 62 335 руб./мес.,
14.04,2-комнатная квартира,"Ленинский районул. Мичурина, д. 1 Информация о доме",2012.0,"2 / 14 эт., кирпич","58,3 / 36 / 8,5",10 200 000 руб.174 957 руб./м²от 121 108 руб./мес.,
14.04,Квартира-студия,"Автозаводский район ЖК Торпедоул. Бориса Видяева, д. 20 Информация о доме",2020.0,"10 / 10 эт., панель","18,1 / 17,1 / 1",4 100 000 руб.226 519 руб./м²от 48 681 руб./мес.,
,,,,,,,
14.04,2-комнатная квартира,"Сормовский районул. Героев Космоса, д. 20 Информация о доме",1975.0,"5 / 5 эт., панель","39,6 / 23,1 / 6брежн.",4 690 000 руб.118 434 руб./м²от 55 686 руб./мес.,
14.04,1-комнатная квартира,"Советский район микрорайон Кузнечихаул. Богородского, д. 13 к2 Информация о доме",1969.0,"2 / 5 эт., кирпич",31 / 17 / 7хрущ.,5 450 000 руб.175 806 руб./м²от 64 710 руб./мес.,
14.04,4-комнатная квартира,"Приокский район микрорайон Щербинки 2ул. Военных Комиссаров, д. 3 Информация о доме",1970.0,"1 / 5 эт., панель","58,2 / 46,2 / 5,9брежн.",7 900 000 руб.135 739 руб./м²от 93 800 руб./мес.,
14.04,3-комнатная квартира,"Московский районул. Александра Люкина, д. 7 Информация о доме",1986.0,"8 / 9 эт., панель","56 / 36 / 7,5",6 490 000 руб.115 893 руб./м²от 77 058 руб./мес.,
14.04,3-комнатная квартира,"Московский район микрорайон Бурнаковскийш. Сормовское, д. 8 Информация о доме",1962.0,"2 / 5 эт., кирпич","54,8 / 41 / 6,5хрущ.",5 950 000 руб.108 577 руб./м²от 70 647 руб./мес.,
14.04,3-комнатная квартира,"Ленинский район микрорайон Молитовкапл. Комсомольская, д. 10 к3 Информация о доме",1978.0,"5 / 9 эт., панель","65 / 42,8 / 6,1",9 500 000 руб.146 154 руб./м²от 112 797 руб./мес.,
14.04,3-комнатная квартира,"Советский районул. Невзоровых, д. 31 Информация о доме",1934.0,"2 / 3 эт., кирпич","60,9 / 41 / 6,5стал.",7 700 000 руб.126 437 руб./м²от 91 425 руб./мес.,
,,,,,,,
14.04,2-комнатная квартира,"Ленинский районул. Норильская, д. 6 Информация о доме",1961.0,"3 / 3 эт., кирпич","36,8 / 25,5 / 5,5хрущ.",4 010 000 руб.108 967 руб./м²от 47 612 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский район микрорайон Северныйул. Львовская, д. 6 Информация о доме",1994.0,"4 / 9 эт., панель","43,7 / 27,6 / 7",6 400 000 руб.146 453 руб./м²от 75 990 руб./мес.,
14.04,3-комнатная квартира,"Ленинский районул. Премудрова, д. 12 Информация о доме",1970.0,"3 / 5 эт., кирпич","53,2 / 35,3 / 6хрущ.",5 780 000 руб.108 647 руб./м²от 68 628 руб./мес.,
14.04,1-комнатная квартира,"Автозаводский район микрорайон Мончегорскийул. Мончегорская, д. 18 к3 Информация о доме",1989.0,"7 / 9 эт., панель","32,7 / 17,4 / 7,5",4 000 000 руб.122 324 руб./м²от 47 494 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский район 6-й микрорайонш. Южное, д. 28А Информация о доме",1967.0,"4 / 5 эт., панель","43,7 / 28,2 / 5,6брежн.",4 250 000 руб.97 254 руб./м²от 50 462 руб./мес.,
