livrooms_count,district,year,level,house_levels,const_tech,area,liv_area,kitchen_area,price,log_price
2,Автозаводский,1975.0,7,9,панель,38.2,21.8,6.1,6400000,15.671808548329901
2,Автозаводский,1972.0,9,9,кирпич,44.2,26.4,6.0,4700000,15.363073066680286
2,Автозаводский,1975.0,3,9,панель,38.1,21.8,6.1,7000000,15.761420707019587
3,Автозаводский,1992.4320625610949,5,13,кирпич,68.7,42.6,9.0,12350000,16.32916662103826
3,Автозаводский,1992.0,1,5,панель,64.0,39.0,10.5,6100000,15.623799329143539
3,Приокский,1989.0,1,9,панель,57.1,36.7,7.0,7650000,15.850216205802719
1,Автозаводский,1970.0,1,5,панель,33.0,17.4,5.8,4500000,15.319587954740548
3,Канавинский,1977.0,6,9,панель,60.2,44.0,7.0,7800000,15.86963429165982
3,Автозаводский,1968.0,2,5,кирпич,52.0,37.0,6.0,7700000,15.856730886823913
2,Приокский,2013.0,4,19,блок+утеплитель,52.0,27.9,10.5,9500000,16.06680235657077
1,Нижегородский,2022.28591954023,4,22,блок+утеплитель,46.0,20.0,13.0,12000000,16.300417207752275
3,Автозаводский,1996.0,9,10,монолитный железобетон,69.3,41.0,8.7,8300000,15.931766072766827
2,Канавинский,1972.0,3,5,кирпич,45.0,30.0,5.8,5900000,15.590462908875947
2,Ленинский,1964.0,3,5,кирпич,45.0,30.0,6.0,4980000,15.420940449000836
2,Автозаводский,1958.0,1,2,шлакоблок,37.2,26.0,4.4,3300000,15.009433026436708
3,Автозаводский,1989.0,3,10,панель,63.1,38.2,9.0,8100000,15.907374619642667
3,Автозаводский,2019.0,9,10,панель,56.2,36.21,8.58,9000000,16.012735135300492
1,Нижегородский,2018.0,9,19,блок+утеплитель,52.0,21.0,15.0,17000000,16.64872390202049
1,Автозаводский,1962.0,2,5,кирпич,32.7,18.6,5.8,3950000,15.189226136877304
1,Автозаводский,2014.0,3,3,стеновая панель на деревянном каркасе,39.6,19.5,9.5,4700000,15.363073066680286
3,Автозаводский,2020.0,7,14,блок+утеплитель,82.2,51.4,11.2,11500000,16.25785759333348
1,Нижегородский,1961.0,1,3,кирпич,42.2,33.76,4.22,4417255,15.301029020404227
2,Советский,1973.0,7,9,кирпич,48.6,32.0,8.0,6900000,15.747031969567487
2,Приокский,1958.0,2,3,кирпич,45.0,28.0,6.0,4600000,15.341566861459324
1,Канавинский,1989.0,6,6,панель,40.0,25.0,5.8,7400000,15.816990558174398
1,Ленинский,1980.0,2,9,панель,33.0,17.0,10.5,5500000,15.520258650202699
2,Канавинский,2024.0,7,10,панель,59.0,36.0,11.0,7596000,15.843132350914313
2,Автозаводский,1964.0,3,5,кирпич,45.3,28.9,5.8,4500000,15.319587954740548
2,Советский,1958.0,2,2,дерево,48.1,32.2,6.2,5700000,15.555976732804778
3,Канавинский,1992.0,4,6,панель,85.0,50.0,8.5,16000000,16.588099280204055
1,Приокский,1978.0,8,9,кирпич,21.0,12.0,5.0,3200000,14.978661367769956
2,Приокский,1965.0,1,5,кирпич,43.8,27.6,6.0,5300000,15.483217378522351
